experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,date_of_heading,thousand_kernel_weight,plant_height,ear_density,oidium,yellow_rust,black_rust,septoria_nodorum,fusarium_ear,zeleny,name,description,campaign,site_name,longitude,latitude,remarks
422,CHE001,Triticum,4139,NA,NA,159,19610609,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4140,NA,NA,164,19610614,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4141,NA,NA,163,19610613,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4142,NA,NA,158,19610608,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4143,NA,NA,161,19610611,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4144,NA,NA,160,19610610,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4146,NA,NA,159,19610609,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4147,NA,NA,159,19610609,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4149,NA,NA,157,19610607,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4150,NA,NA,160,19610610,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4151,NA,NA,159,19610609,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4152,NA,NA,160,19610610,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4153,NA,NA,160,19610610,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4154,NA,NA,161,19610611,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4156,NA,NA,160,19610610,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4158,NA,NA,164,19610614,NA,170,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4159,NA,NA,157,19610607,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4161,NA,NA,160,19610610,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4163,NA,NA,158,19610608,NA,165,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4164,NA,NA,160,19610610,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4165,NA,NA,160,19610610,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4166,NA,NA,157,19610607,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4167,NA,NA,160,19610610,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4168,NA,NA,159,19610609,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4169,NA,NA,162,19610612,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4170,NA,NA,159,19610609,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4174,NA,NA,160,19610610,NA,180,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4178,NA,NA,163,19610613,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4180,NA,NA,158,19610608,NA,165,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4181,NA,NA,158,19610608,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4182,NA,NA,160,19610610,NA,155,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4183,NA,NA,160,19610610,NA,170,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4185,NA,NA,161,19610611,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
422,CHE001,Triticum,4186,NA,NA,160,19610610,NA,170,NA,NA,NA,NA,NA,NA,NA,RZ1961,multipication collection,1960-1961,Reckenholz,8.516632,47.42836,NA
408,CHE001,Triticum,1004,NA,NA,168,19620618,47.2,150,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1004,NA,NA,169,19620619,51,170,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1008,NA,NA,166,19620616,44.6,145,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1014,NA,NA,161,19620611,37.4,120,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1020,NA,NA,168,19620618,50.7,145,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1031,NA,NA,165,19620615,40.8,150,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1033,NA,NA,166,19620616,50.5,155,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1042,NA,NA,167,19620617,47.6,145,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1043,NA,NA,166,19620616,45.4,145,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1045,NA,NA,163,19620613,53,155,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1046,NA,NA,165,19620615,33.8,125,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,1050,NA,NA,169,19620619,48,165,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,123,NA,NA,166,19620616,37.7,110,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,133,NA,NA,168,19620618,44.6,140,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,134,NA,NA,168,19620618,43.7,150,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,196,NA,NA,166,19620616,44.3,150,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
423,CHE001,Triticum,4120,NA,NA,171,19620621,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4124,NA,NA,169,19620619,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4125,NA,NA,169,19620619,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4126,NA,NA,172,19620622,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4127,NA,NA,166,19620616,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4128,NA,NA,169,19620619,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4129,NA,NA,166,19620616,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4130,NA,NA,169,19620619,NA,125,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4131,NA,NA,174,19620624,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4132,NA,NA,169,19620619,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4133,NA,NA,169,19620619,NA,125,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4135,NA,NA,166,19620616,NA,120,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4136,NA,NA,169,19620619,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4137,NA,NA,174,19620624,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4138,NA,NA,172,19620622,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4139,NA,NA,169,19620619,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4140,NA,NA,172,19620622,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4141,NA,NA,172,19620622,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4142,NA,NA,169,19620619,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4143,NA,NA,172,19620622,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4144,NA,NA,176,19620626,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4145,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4146,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4147,NA,NA,172,19620622,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4148,NA,NA,172,19620622,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4149,NA,NA,169,19620619,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4150,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4151,NA,NA,174,19620624,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4152,NA,NA,172,19620622,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4153,NA,NA,172,19620622,NA,120,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4154,NA,NA,174,19620624,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4155,NA,NA,174,19620624,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4156,NA,NA,172,19620622,NA,125,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4158,NA,NA,174,19620624,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4159,NA,NA,169,19620619,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4161,NA,NA,172,19620622,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4162,NA,NA,174,19620624,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4163,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4164,NA,NA,172,19620622,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4165,NA,NA,172,19620622,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4166,NA,NA,169,19620619,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4167,NA,NA,169,19620619,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4168,NA,NA,174,19620624,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4169,NA,NA,171,19620621,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4170,NA,NA,169,19620619,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4171,NA,NA,174,19620624,NA,130,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4172,NA,NA,174,19620624,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4173,NA,NA,172,19620622,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4174,NA,NA,172,19620622,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4175,NA,NA,169,19620619,NA,145,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4178,NA,NA,174,19620624,NA,135,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4180,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4181,NA,NA,169,19620619,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4182,NA,NA,169,19620619,NA,140,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4183,NA,NA,172,19620622,NA,125,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4185,NA,NA,169,19620619,NA,150,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
423,CHE001,Triticum,4186,NA,NA,174,19620624,NA,160,NA,NA,NA,NA,NA,NA,NA,RZ1962,multipication collection,1961-1962,Reckenholz,8.516632,47.42836,NA
408,CHE001,Triticum,640,NA,NA,164,19620614,40,100,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,994,NA,NA,162,19620612,43.4,140,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
408,CHE001,Triticum,999,NA,NA,164,19620614,42,140,NA,NA,NA,NA,NA,NA,NA,MC1962,multipication collection,1961-1962,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1004,NA,NA,169,19630619,43.1,160,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1004,NA,NA,171,19630621,45.3,170,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1008,NA,NA,164,19630614,41.5,150,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1014,NA,NA,152,19630602,38.4,140,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1020,NA,NA,163,19630613,50,150,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1031,NA,NA,163,19630613,41.9,155,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1033,NA,NA,169,19630619,44.5,160,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1042,NA,NA,169,19630619,42,145,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1043,NA,NA,169,19630619,40.6,145,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1045,NA,NA,161,19630611,53,160,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1046,NA,NA,159,19630609,42,160,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,1050,NA,NA,171,19630621,46.5,170,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,122,NA,NA,161,19630611,35.2,150,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,123,NA,NA,161,19620611,46.1,150,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
409,CHE001,Triticum,133,NA,NA,170,19630620,39.7,145,NA,NA,NA,NA,NA,NA,NA,MC1963,multipication collection,1962-1963,Mont-calme,6.641812,46.524544,NA
